CustomerID,Age,Gender,Item Purchased,Category,PurchaseAmount,Location,Size,Color,Season,Review Rating,Subscription,Shipping,Discount,Promo,Previous Purchases,Payment Method,Frequency of Purchase
CUST0001,32,Male,Sweater,Clothing,144.75,Dallas,XL,Red,Winter,2.9,No,Express,None,No,22,Debit Card,Bi-Weekly
CUST0002,39,Male,Jacket,Clothing,89.11,Boston,L,Blue,Winter,5.0,No,Next Day,10%,No,16,Bank Transfer,Monthly
CUST0003,31,Female,T-Shirt,Clothing,81.67,Dallas,M,Black,Winter,4.4,Yes,Next Day,None,No,11,Debit Card,Monthly
CUST0004,43,Female,Jeans,Clothing,170.32,Houston,XXL,Grey,Summer,3.0,Yes,Standard,40%,No,29,Bank Transfer,Bi-Weekly
CUST0005,42,Female,Backpack,Accessories,103.02,New York,XS,Pink,Spring,3.1,No,Next Day,None,Yes,12,PayPal,Quarterly
CUST0006,22,Female,Handbag,Accessories,66.98,San Diego,XS,Grey,Winter,3.0,Yes,Next Day,None,No,8,Bank Transfer,Quarterly
CUST0007,52,Male,Boots,Footwear,105.84,San Diego,M,Brown,Fall,3.1,No,Express,None,Yes,13,Credit Card,Monthly
CUST0008,54,Male,Flats,Footwear,146.82,Houston,XL,Pink,Fall,4.4,No,Next Day,30%,No,14,Credit Card,Weekly
CUST0009,61,Female,Jacket,Clothing,162.81,Seattle,XXL,Black,Spring,4.8,Yes,Express,None,No,27,PayPal,Weekly
CUST0010,54,Male,Sneakers,Footwear,57.18,Dallas,M,Yellow,Winter,3.9,No,Standard,None,Yes,11,Debit Card,Rarely
CUST0011,20,Male,Jeans,Clothing,43.69,Phoenix,XS,Black,Fall,3.8,No,Standard,10%,No,22,Cash,Weekly
CUST0012,55,Female,T-Shirt,Clothing,95.25,Philadelphia,XXL,Black,Spring,4.1,Yes,Express,20%,No,1,Cash,Monthly
CUST0013,36,Female,Dress,Clothing,123.23,Los Angeles,XS,Brown,Spring,4.2,Yes,Free Shipping,30%,Yes,6,Cash,Bi-Weekly
CUST0014,66,Female,Windbreaker,Outerwear,299.06,Phoenix,XL,Pink,Spring,3.1,Yes,Free Shipping,20%,No,29,Credit Card,Monthly
CUST0015,53,Female,Hoodie,Clothing,127.04,Chicago,XS,White,Winter,2.4,Yes,Express,20%,No,24,Credit Card,Bi-Weekly
CUST0016,38,Female,Skirt,Clothing,139.44,San Diego,M,Black,Winter,4.7,No,Next Day,10%,No,7,Bank Transfer,Monthly
CUST0017,51,Male,Blazer,Outerwear,175.66,Chicago,L,Blue,Winter,3.6,No,Standard,40%,No,4,Bank Transfer,Rarely
CUST0018,41,Male,Sunglasses,Accessories,77.09,Chicago,L,Black,Winter,5.0,Yes,Standard,None,Yes,20,PayPal,Bi-Weekly
CUST0019,20,Female,Flats,Footwear,48.03,Los Angeles,M,Purple,Summer,4.3,Yes,Next Day,20%,No,22,Bank Transfer,Bi-Weekly
CUST0020,42,Female,Jeans,Clothing,166.12,San Diego,XS,Red,Spring,3.0,Yes,Next Day,20%,No,25,Cash,Rarely
CUST0021,19,Female,Jeans,Clothing,112.52,Philadelphia,S,Purple,Summer,3.8,Yes,Express,20%,No,30,Cash,Monthly
CUST0022,61,Female,Scarf,Accessories,105.32,Philadelphia,XL,Red,Summer,3.4,No,Free Shipping,None,Yes,3,Debit Card,Monthly
CUST0023,36,Female,T-Shirt,Clothing,139.05,San Diego,XS,Green,Spring,3.3,Yes,Standard,None,Yes,29,Credit Card,Monthly
CUST0024,56,Female,Hoodie,Clothing,108.7,San Diego,M,Purple,Winter,3.4,Yes,Express,None,Yes,21,Bank Transfer,Weekly
CUST0025,69,Male,Skirt,Clothing,95.87,Houston,XS,Green,Fall,3.8,Yes,Express,10%,Yes,6,Debit Card,Monthly
CUST0026,22,Male,Sneakers,Footwear,65.14,San Diego,S,Black,Winter,3.1,No,Free Shipping,20%,No,23,PayPal,Monthly
CUST0027,60,Male,Dress,Clothing,120.15,Los Angeles,XL,Blue,Summer,4.2,No,Standard,20%,No,10,Debit Card,Weekly
CUST0028,24,Female,Handbag,Accessories,115.47,Dallas,L,Brown,Spring,4.6,No,Next Day,None,No,17,PayPal,Rarely
CUST0029,66,Male,Jeans,Clothing,112.89,New York,XL,Pink,Spring,3.9,Yes,Express,30%,No,11,Credit Card,Monthly
